restaurant_id,name,resto_TA_url,nb_reviews,min_price,max_price,keywords,address,phone_number,website,menu,ranking,rating,score,neighborhood,cuisine,food_specificity,place_type,distance_to_bokan
15,MyLahore  British Asian Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g503771-d20054109-Reviews-MyLahore_British_Asian_Kitchen-Barking_Barking_and_Dagenham_Greater_London_Engla.html,220,2,3,"['Indian', 'Asian', 'British']","2 Jenkins Lane Unit 1, Barking IG11 0AD England",+44 20 8594 0100,Website not scraped,Menu not scraped,#1 of 40 Restaurants in Barking,5.0,1.0,Barking,Indian,,,
14,La Dolce Vita,https://www.tripadvisor.co.uk/Restaurant_Review-g528818-d2306043-Reviews-La_Dolce_Vita-Teddington_Richmond_upon_Thames_Greater_London_England.html,1118,2,3,"['Italian', 'Italian', 'Mediterranean']","195 Waldegrave Road, Teddington, Richmond TW11 8LX England",+44 20 8977 8779,Website not scraped,Menu not scraped,#1 of 51 Restaurants in Teddington,5.0,1.0,Teddington,Italian,,,23.142
13,La Plata Steakhouse,https://www.tripadvisor.co.uk/Restaurant_Review-g191301-d12911877-Reviews-La_Plata_Steakhouse-Richmond_upon_Thames_Greater_London_England.html,221,2,3,"['Steakhouse', 'South American', 'South American']","East Sheen 109 Sheen Lane, Richmond SW14 8AE England",+44 20 8876 7747,Website not scraped,Menu not scraped,#1 of 116 Restaurants in Richmond,5.0,1.0,Richmond,South American,,Steakhouse,17.421
12,Madhu's,https://www.tripadvisor.co.uk/Restaurant_Review-g1646066-d2413978-Reviews-Madhu_s-Southall_Ealing_Greater_London_England.html,528,2,3,"['Indian', 'Asian', 'Barbecue']","39 South Road, Southall, Ealing UB1 1SW England",+44 20 8574 1897,Website not scraped,Menu not scraped,Ranking not found,4.0,,,Indian,Barbecue,,24.427
10,Awesome Thai #Barnes,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3490463-Reviews-Awesome_Thai_Barnes-London_England.html,657,2,3,"['Asian', 'Thai', 'Vegan']","68 Church Road Barnes, London SW13 0DQ England",+44 20 8563 7027,Website not scraped,Menu not scraped,"#65 of 16,988 Restaurants in London",4.5,1.0,London,Thai,Vegan,,15.342
9,Spice Station,https://www.tripadvisor.co.uk/Restaurant_Review-g10283565-d3644860-Reviews-Spice_Station-Chingford_Waltham_Forest_Greater_London_England.html,214,2,3,"['Indian', 'Asian', 'Indian']","140 Station Road, Chingford, Waltham Forest E4 6AN England",+44 20 8524 0883,Website not scraped,Menu not scraped,#1 of 42 Restaurants in Chingford,4.5,1.0,Chingford,Indian,,,14.898
34,Rendez Vous Caffe,https://www.tripadvisor.co.uk/Restaurant_Review-g2549055-d6522688-Reviews-Rendez_Vous_Caffe-Beckenham_Greater_London_England.html,279,2,3,"['Cafe', 'International', 'British']","94 High Street, Beckenham BR3 1ED England",+44 20 8650 0480,Website not scraped,Menu not scraped,#1 of 88 Restaurants in Beckenham,5.0,1.0,Beckenham,British,,Cafe,10.347
35,The French Table,https://www.tripadvisor.co.uk/Restaurant_Review-g1752250-d1935808-Reviews-The_French_Table-Surbiton_Kingston_upon_Thames_Greater_London_England.html,1215,4,4,"['French', 'European', 'Vegan']","85 Maple Road, Surbiton, Kingston upon Thames KT6 4AW England",+44 20 8399 2365,Website not scraped,Menu not scraped,Ranking not found,4.5,,,French,Vegan,,22.977
36,Buenos Aires Argentine Steakhouse,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4242819-Reviews-Buenos_Aires_Argentine_Steakhouse-London_England.html,922,2,3,"['Steakhouse', 'Barbecue', 'South American']","32 Turnham Green Terrace Chiswick, London W4 1QP England",+44 20 8747 8772,Website not scraped,Menu not scraped,"#108 of 16,988 Restaurants in London",4.5,1.0,London,South American,Barbecue,Steakhouse,16.076
71,La Belle Epoque,https://www.tripadvisor.co.uk/Restaurant_Review-g528813-d1381453-Reviews-La_Belle_Epoque-Hounslow_Greater_London_England.html,852,4,4,"['French', 'European', 'Vegan']","Terminal 5 Wentworth Drive Sofitel London Heathrow, Hounslow TW6 2GD England",+44 20 8757 5029,Website not scraped,Menu not scraped,Ranking not found,5.0,,,French,Vegan,,
69,The Cochin,https://www.tripadvisor.co.uk/Restaurant_Review-g528819-d10462204-Reviews-The_Cochin-Twickenham_Greater_London_England.html,252,2,3,"['Indian', 'Vegan', 'Vegan']","108 Heath Road, Twickenham TW1 4BW England",+44 20 8891 3306,Website not scraped,Menu not scraped,#3 of 138 Restaurants in Twickenham,4.5,0.986,Twickenham,Indian,Vegan,,22.453
68,Ristorante Del Posto,https://www.tripadvisor.co.uk/Restaurant_Review-g528819-d13165610-Reviews-Ristorante_Del_Posto-Twickenham_Greater_London_England.html,120,2,3,"['Italian', 'Italian', 'Mediterranean']","139 St. Margarets Road, Twickenham TW1 1RG England",+44 20 8891 2644,Website not scraped,Menu not scraped,#2 of 138 Restaurants in Twickenham,5.0,0.993,Twickenham,Italian,,,21.218
70,Nepal Authentic Dining,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2013731-Reviews-Nepal_Authentic_Dining-London_England.html,221,2,3,"['Indian', 'Asian', 'Indian']","121 Uxbridge Road, London W12 8NL England",+44 20 8740 7551,Website not scraped,Menu not scraped,"#116 of 16,988 Restaurants in London",4.5,1.0,London,Indian,,,14.556
65,Bella Donna,https://www.tripadvisor.co.uk/Restaurant_Review-g2520134-d3689248-Reviews-Bella_Donna-Morden_Greater_London_England.html,211,2,3,"['Italian', 'Italian', 'Mediterranean']","87 London Road, Morden SM4 5HP England",+44 20 8640 2488,Website not scraped,Menu not scraped,#1 of 27 Restaurants in Morden,4.5,1.0,Morden,Italian,,,16.288
66,Imperial Arms,https://www.tripadvisor.co.uk/Restaurant_Review-g1637599-d4138076-Reviews-Imperial_Arms-Chislehurst_Greater_London_England.html,661,2,3,"['Bar', 'British', 'Vegan']","1 Old Hill, Chislehurst BR7 5LZ England",+44 20 3605 7899,Website not scraped,Menu not scraped,#1 of 35 Restaurants in Chislehurst,4.5,1.0,Chislehurst,British,Vegan,Bar,11.809
64,Al Boccon Di'vino is Non Solo Vino,https://www.tripadvisor.co.uk/Restaurant_Review-g191301-d1015408-Reviews-Al_Boccon_Di_vino_is_Non_Solo_Vino-Richmond_upon_Thames_Greater_London_England.html,943,2,3,"['Italian', 'Mediterranean', 'European']","14A Red Lion Street, Richmond TW9 1RW England",+44 20 8940 9060,Website not scraped,Menu not scraped,#4 of 116 Restaurants in Richmond,4.5,0.974,Richmond,Italian,,,20.013
63,Chez Lindsay,https://www.tripadvisor.co.uk/Restaurant_Review-g191301-d1014985-Reviews-Chez_Lindsay-Richmond_upon_Thames_Greater_London_England.html,879,2,3,"['French', 'Vegan', 'Vegan']","11 Hill Rise, Richmond TW10 6UQ England",+44 20 8948 7473,Website not scraped,Menu not scraped,#3 of 116 Restaurants in Richmond,4.5,0.983,Richmond,French,Vegan,,20.116
62,MOMO & ROTI,https://www.tripadvisor.co.uk/Restaurant_Review-g528813-d13314661-Reviews-MOMO_ROTI-Hounslow_Greater_London_England.html,99,2,3,"['Asian', 'Street Food', 'Asian']","22 Kingsley Road, Hounslow TW3 1NP England",+44 20 8577 9777,Website not scraped,Menu not scraped,#2 of 185 Restaurants in Hounslow,5.0,0.995,Hounslow,Asian,,,23.219
61,R & H Cafe & Art Gallery,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10517849-Reviews-R_H_Cafe_Art_Gallery-London_England.html,292,2,3,"['Cafe', 'Middle Eastern', 'Middle Eastern']","15 Richmond Hill, London TW10 6RE England",+44 20 8948 4087,Website not scraped,Menu not scraped,Ranking not found,5.0,,,Middle Eastern,,Cafe,19.997
72,La Palma Italian Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g2183309-d9740767-Reviews-La_Palma_Italian_Restaurant-Iver_Buckinghamshire_England.html,330,2,3,"['Italian', 'Italian', 'Mediterranean']","52 St. Davids Close, Iver SL0 0RT England",+44 1753 652100,Website not scraped,Menu not scraped,Ranking not found,4.5,,,Italian,,,34.701
97,Bekash Tandoori,https://www.tripadvisor.co.uk/Restaurant_Review-g580427-d1010225-Reviews-Bekash_Tandoori-Romford_Greater_London_England.html,564,2,3,"['Indian', 'Asian', 'Indian']","70 Victoria Road, Romford RM1 2LA England",+44 1708 737841,Website not scraped,Menu not scraped,#1 of 192 Restaurants in Romford,4.5,1.0,Romford,Indian,,,16.712
100,Le Petit Nantais,https://www.tripadvisor.co.uk/Restaurant_Review-g504169-d2317000-Reviews-Le_Petit_Nantais-East_Molesey_Molesey_Surrey_England.html,414,2,3,"['French', 'European', 'Fusion']","41 Bridge Road Hampton Court Village, East Molesey KT8 9ER England",+44 20 8979 2309,Website not scraped,Menu not scraped,#3 of 37 Restaurants in East Molesey,4.5,0.946,Molesey,French,Fusion,,
99,LEFKE Restaurant & Bar,https://www.tripadvisor.co.uk/Restaurant_Review-g1635501-d8667956-Reviews-LEFKE_Restaurant_Bar-Upminster_Greater_London_England.html,346,2,3,"['Bar', 'Mediterranean', 'Barbecue']","30 Corbets Tey Road, Upminster RM14 2AD England",+44 1708 224688,Website not scraped,Menu not scraped,#1 of 55 Restaurants in Upminster,4.5,1.0,Upminster,,Barbecue,Bar,19.61
98,Thanh's Bistro,https://www.tripadvisor.co.uk/Restaurant_Review-g504167-d4297495-Reviews-Thanh_s_Bistro-Croydon_Greater_London_England.html,197,2,3,"['Asian', 'Asian', 'Vegan']","56 Lower Addiscombe Road, Croydon CR0 6AA England",+44 20 8405 4308,Website not scraped,Menu not scraped,#2 of 337 Restaurants in Croydon,4.5,0.997,Croydon,Asian,Vegan,,14.151
95,Trattoria Calabrese,https://www.tripadvisor.co.uk/Restaurant_Review-g504175-d4975690-Reviews-Trattoria_Calabrese-Kingston_upon_Thames_Greater_London_England.html,449,2,3,"['Italian', 'Italian', 'Mediterranean']","66 Coombe Road, Kingston upon Thames KT2 7AE England",+44 20 8546 6968,Website not scraped,Menu not scraped,#2 of 168 Restaurants in Kingston upon Thames,4.5,0.994,Thames,Italian,,,20.739
96,Albany Spice,https://www.tripadvisor.co.uk/Restaurant_Review-g7377416-d10062307-Reviews-Albany_Spice-Brentford_Ealing_Greater_London_England.html,264,2,3,"['Indian', 'Asian', 'Indian']","1 Albany Parade, High Street 1 Albany Parade, Brentford, Ealing TW8 0JW England",+44 20 8569 7026,Website not scraped,Menu not scraped,#1 of 48 Restaurants in Brentford,4.5,1.0,Brentford,Indian,,,
94,Moksha,https://www.tripadvisor.co.uk/Restaurant_Review-g2365649-d11533308-Reviews-Moksha-New_Malden_Greater_London_England.html,278,2,3,"['Indian', 'Asian', 'Vegan']","216 Kingston Road, New Malden KT3 3RJ England",+44 20 8949 2211,Website not scraped,Menu not scraped,#1 of 56 Restaurants in New Malden,4.5,1.0,Malden,Indian,Vegan,,20.468
92,Jaipur of Chigwell,https://www.tripadvisor.co.uk/Restaurant_Review-g1635502-d5423532-Reviews-Jaipur_of_Chigwell-Woodford_Redbridge_Greater_London_England.html,628,2,3,"['Indian', 'Asian', 'Indian']","734 Chigwell Road Woodford Green, Woodford IG8 8AL England",+44 20 8504 0248,Website not scraped,Menu not scraped,#1 of 58 Restaurants in Woodford,4.5,1.0,Woodford,Indian,,,12.908
93,Caspari,https://www.tripadvisor.co.uk/Restaurant_Review-g1874997-d3838560-Reviews-Caspari-Englefield_Green_Surrey_England.html,372,2,3,"['Italian', 'Italian', 'Vegan']","3 St. Judes Road, Englefield Green TW20 0DB England",+44 1784 432044,Website not scraped,Menu not scraped,Ranking not found,4.5,,,Italian,Vegan,,38.905
89,La Trompette,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d719657-Reviews-La_Trompette-London_England.html,1102,4,4,"['French', 'European', 'Vegan']","3-7 Devonshire Road, London W4 2EU England",+44 20 8747 1836,Website not scraped,Menu not scraped,"#157 of 16,988 Restaurants in London",4.5,1.0,London,French,Vegan,,8.288
86,No 97,https://www.tripadvisor.co.uk/Restaurant_Review-g1752250-d10465878-Reviews-No_97-Surbiton_Kingston_upon_Thames_Greater_London_England.html,450,2,3,"['European', 'British', 'Vegan']","97 Maple Road, Surbiton, Kingston upon Thames KT6 4AW England",+44 20 3411 9797,Website not scraped,Menu not scraped,#3 of 87 Restaurants in Surbiton,4.5,0.977,Surbiton,British,Vegan,,22.936
88,Mario's Pizzeria,https://www.tripadvisor.co.uk/Restaurant_Review-g1639613-d3704640-Reviews-Mario_s_Pizzeria-Sidcup_Greater_London_England.html,453,2,3,"['Italian', 'Italian', 'Vegan']","148 Station Road, Sidcup DA15 7AB England",+44 20 3260 2132,Website not scraped,Menu not scraped,#1 of 92 Restaurants in Sidcup,4.5,1.0,Sidcup,Italian,Vegan,,11.48
85,Wagamama,https://www.tripadvisor.co.uk/Restaurant_Review-g477981-d11994760-Reviews-Wagamama-Staines_Surrey_England.html,425,2,3,"['Japanese', 'Asian', 'Vegan']","Mustard Mill Road, Staines TW18 4WB England",+44 1784 682030,Website not scraped,Menu not scraped,#1 of 57 Restaurants in Staines,4.5,1.0,Staines,Asian,Vegan,,34.547
84,Positano,https://www.tripadvisor.co.uk/Restaurant_Review-g1752250-d1935809-Reviews-Positano-Surbiton_Kingston_upon_Thames_Greater_London_England.html,297,2,3,"['Italian', 'Italian', 'Vegan']","165 Ewell Road, Surbiton, Kingston upon Thames KT6 6AW England",+44 20 8255 6768,Website not scraped,Menu not scraped,#4 of 87 Restaurants in Surbiton,4.5,0.966,Surbiton,Italian,Vegan,,22.817
82,The Fireball Pizza Company,https://www.tripadvisor.co.uk/Restaurant_Review-g1637597-d8120683-Reviews-The_Fireball_Pizza_Company-Bromley_Greater_London_England.html,340,2,3,"['Italian', 'Italian', 'Vegan']","8 Chatterton Road, Bromley BR2 9QN England",+44 20 8466 8137,Website not scraped,Menu not scraped,#2 of 178 Restaurants in Bromley,4.5,0.994,Bromley,Italian,Vegan,,12.755
80,Capricho Portuguese Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g580420-d12316982-Reviews-Capricho_Portuguese_Kitchen-Ilford_Greater_London_England.html,397,2,3,"['Seafood', 'Mediterranean', 'European']","1 Broadway Parade, Fencepiece Road Barkingside, Ilford IG6 2JU England",+44 20 8215 2592,Website not scraped,Menu not scraped,#1 of 214 Restaurants in Ilford,4.5,1.0,Ilford,European,Seafood,,
79,Masala Inn Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g1439404-d12910992-Reviews-Masala_Inn_Restaurant-Bexleyheath_Greater_London_England.html,291,2,3,"['Indian', 'Asian', 'Indian']","220 Broadway, Bexleyheath DA6 7AU England",+44 20 8304 5314,Website not scraped,Menu not scraped,#2 of 83 Restaurants in Bexleyheath,5.0,0.988,Bexleyheath,Indian,,,12.195
81,Lugana Italian Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g2549055-d9593781-Reviews-Lugana_Italian_Restaurant-Beckenham_Greater_London_England.html,328,2,3,"['Italian', 'Mediterranean', 'European']","8 Eden Park Avenue, Beckenham BR3 3HN England",+44 20 8650 3959,Website not scraped,Menu not scraped,#2 of 88 Restaurants in Beckenham,4.5,0.989,Beckenham,Italian,,,11.569
78,B&K Salt Beef Bar,https://www.tripadvisor.co.uk/Restaurant_Review-g1646063-d1946997-Reviews-B_K_Salt_Beef_Bar-Edgware_Greater_London_England.html,183,2,3,['Vegan'],"11 Lanson House Whitchurch Lane Whitchuch Lane, Edgware HA8 6NL England",+44 20 8952 8204,Website not scraped,Menu not scraped,#1 of 78 Restaurants in Edgware,4.5,1.0,Edgware,,Vegan,,
77,The Glasshouse,https://www.tripadvisor.co.uk/Restaurant_Review-g1466790-d719031-Reviews-The_Glasshouse-Kew_Richmond_upon_Thames_Greater_London_England.html,1038,4,4,"['European', 'British', 'Vegan']","14 Station Parade, Kew, Richmond TW9 3PZ England",+44 20 8940 6777,Website not scraped,Menu not scraped,Ranking not found,4.5,,,British,Vegan,,18.37
76,Enzo's,https://www.tripadvisor.co.uk/Restaurant_Review-g186419-d14060789-Reviews-Enzo_s-Windsor_Windsor_and_Maidenhead_Berkshire_England.html,635,2,3,"['Italian', 'Italian', 'Mediterranean']","83/84 Peascod Street, Windsor SL4 1DH England",+44 7830 309198,Website not scraped,Menu not scraped,#4 of 131 Restaurants in Windsor,4.5,0.977,Windsor,Italian,,,40.763
74,Wok & Karahi,https://www.tripadvisor.co.uk/Restaurant_Review-g1646066-d21297736-Reviews-Wok_Karahi-Southall_Ealing_Greater_London_England.html,62,4,4,"['Chinese', 'Indian', 'Asian']","13 South Road, Southall, Southall, Ealing UB1 1SU England",+44 20 8574 7188,Website not scraped,Menu not scraped,Ranking not found,5.0,,,Indian,,,24.418
73,Basil & Grape,https://www.tripadvisor.co.uk/Restaurant_Review-g504167-d14150498-Reviews-Basil_Grape-Croydon_Greater_London_England.html,204,2,3,"['Italian', 'Italian', 'Mediterranean']","46 George Street, Croydon CR0 1PB England",+44 20 8680 2277,Website not scraped,Menu not scraped,#3 of 337 Restaurants in Croydon,4.5,0.994,Croydon,Italian,,,15.083
60,Sensi,https://www.tripadvisor.co.uk/Restaurant_Review-g7380842-d9582961-Reviews-Sensi-Pinner_Greater_London_England.html,203,2,3,"['Italian', 'Italian', 'Mediterranean']","141 Field End Road, Pinner HA5 1QH England",+44 20 8866 6682,Website not scraped,Menu not scraped,#1 of 48 Restaurants in Pinner,5.0,1.0,Pinner,Italian,,,
59,The Beehive,https://www.tripadvisor.co.uk/Restaurant_Review-g190796-d3454122-Reviews-The_Beehive-Egham_Surrey_England.html,145,2,3,"['Bar', 'British', 'Pub']","34 Middle Hill Englefield Green, Egham TW20 0JQ England",+44 1784 431621,Website not scraped,Menu not scraped,#2 of 33 Restaurants in Egham,4.5,0.97,Egham,British,,Bar,
56,Young's Peking Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g528820-d2666944-Reviews-Young_s_Peking_Restaurant-Wembley_Greater_London_England.html,597,2,3,"['Chinese', 'Asian', 'Chinese']","329 Harrow Road, Wembley HA9 6BA England",+44 20 8902 2836,Website not scraped,Menu not scraped,#2 of 155 Restaurants in Wembley,4.5,0.994,Wembley,Asian,,,19.089
55,Madisons,https://www.tripadvisor.co.uk/Restaurant_Review-g1637597-d3611128-Reviews-Madisons-Bromley_Greater_London_England.html,506,2,3,"['American', 'Vegan', 'Vegan']","32 Homesdale Road, Bromley BR2 9LD England",+44 20 8460 7544,Website not scraped,Menu not scraped,#1 of 178 Restaurants in Bromley,4.5,1.0,Bromley,American,Vegan,,12.163
53,Namaste Gurkha,https://www.tripadvisor.co.uk/Restaurant_Review-g673605-d12322333-Reviews-Namaste_Gurkha-Feltham_Hounslow_Greater_London_England.html,413,2,3,"['Indian', 'Asian', 'Indian']","1 Parkfield Parade, Feltham, Hounslow TW13 4HJ England",+44 20 8751 6055,Website not scraped,Menu not scraped,#1 of 50 Restaurants in Feltham,5.0,1.0,Feltham,Indian,,,27.99
52,Hei Hing Cafe & Noodle Bar,https://www.tripadvisor.co.uk/Restaurant_Review-g528814-d5795845-Reviews-Hei_Hing_Cafe_Noodle_Bar-Isleworth_Hounslow_Greater_London_England.html,216,1,1,"['Chinese', 'Asian', 'Chinese']","14 South Street, Isleworth, Hounslow TW7 7BG England",+44 20 8569 7417,Website not scraped,Menu not scraped,#1 of 40 Restaurants in Isleworth,5.0,1.0,Isleworth,Asian,,,21.23
51,Il Vesuvio Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g1439404-d16870239-Reviews-Il_Vesuvio_Restaurant-Bexleyheath_Greater_London_England.html,152,2,3,"['Italian', 'Italian', 'Mediterranean']","Unit 3 Royal Oak Road, Bexleyheath DA6 7AD England",+44 20 8301 3333,Website not scraped,Menu not scraped,#1 of 83 Restaurants in Bexleyheath,5.0,1.0,Bexleyheath,Italian,,,12.545
50,Azou,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d698082-Reviews-Azou-London_England.html,293,2,3,"['African', 'African', 'Mediterranean']","375 King Street Hammersmith, London W6 9NJ England",+44 20 8563 7266,Website not scraped,Menu not scraped,"#128 of 16,988 Restaurants in London",4.5,1.0,London,African,,,15.272
46,Monkey Temple,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6759550-Reviews-Monkey_Temple-London_England.html,286,2,3,"['Indian', 'Asian', 'Indian']","92 Askew Road Shepherd's Bush, London W12 9BL England",+44 20 8743 4597,Website not scraped,Menu not scraped,"#75 of 16,988 Restaurants in London",4.5,1.0,London,Indian,,,15.241
49,Eastern Fire,https://www.tripadvisor.co.uk/Restaurant_Review-g580418-d1536311-Reviews-Eastern_Fire-Harrow_Greater_London_England.html,188,2,3,"['Asian', 'Indian', 'Vegan']","Alexandra Avenue, Harrow HA2 9TW England",+44 20 8866 8386,Website not scraped,Menu not scraped,#2 of 266 Restaurants in Harrow,4.5,0.996,Harrow,Indian,Vegan,,25.365
47,The Clink Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g504182-d2172614-Reviews-The_Clink_Restaurant-Sutton_Greater_London_England.html,452,2,3,"['European', 'British', 'Vegan']","High Down Lane Highdown Lane, Sutton SM2 5PJ England",+44 20 8678 9007,Website not scraped,Menu not scraped,#1 of 129 Restaurants in Sutton,4.5,1.0,Sutton,British,Vegan,,
45,Masa Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g580418-d1168654-Reviews-Masa_Restaurant-Harrow_Greater_London_England.html,369,2,3,"['Middle Eastern', 'Middle Eastern', 'Vegan']","24-26 Headstone Drive, Harrow HA3 5QH England",+44 20 8861 6213,Website not scraped,Menu not scraped,#1 of 266 Restaurants in Harrow,4.5,1.0,Harrow,Middle Eastern,Vegan,,24.039
44,The Green Dragon,https://www.tripadvisor.co.uk/Restaurant_Review-g1480935-d3516153-Reviews-The_Green_Dragon-Barnet_Greater_London_England.html,824,2,3,"['Bar', 'European', 'British']","2 St. Albans Road, Barnet EN5 4RE England",+44 20 8449 2972,Website not scraped,Menu not scraped,#1 of 108 Restaurants in Barnet,4.5,1.0,Barnet,British,,Bar,22.678
43,Q Verde,https://www.tripadvisor.co.uk/Restaurant_Review-g1466790-d2013813-Reviews-Q_Verde-Kew_Richmond_upon_Thames_Greater_London_England.html,657,2,3,"['Italian', 'Mediterranean', 'European']","291 Sandycombe Road, Kew, Richmond TW9 3LU England",+44 20 8332 2882,Website not scraped,Menu not scraped,#1 of 21 Restaurants in Kew,4.5,1.0,Kew,Italian,,,18.451
41,"Sebastian's Italian, Richmond",https://www.tripadvisor.co.uk/Restaurant_Review-g191301-d15124815-Reviews-Sebastian_s_Italian_Richmond-Richmond_upon_Thames_Greater_London_England.html,204,2,3,"['Italian', 'Italian', 'Mediterranean']","12-13 King Street, Richmond TW9 1ND England",+44 20 3745 8282,Website not scraped,Menu not scraped,#5 of 116 Restaurants in Richmond,4.5,0.966,Richmond,Italian,,,20.175
42,Melucci's,https://www.tripadvisor.co.uk/Restaurant_Review-g1076982-d4240870-Reviews-Melucci_s-Bexley_Greater_London_England.html,277,2,3,"['Italian', 'Indian', 'Vegan']","55 Bexley High Street, Bexley DA5 1AB England",+44 1322 558640,Website not scraped,Menu not scraped,#1 of 36 Restaurants in Bexley,5.0,1.0,Bexley,Italian,Vegan,,13.651
39,The Voujon Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g10283565-d8384540-Reviews-The_Voujon_Restaurant-Chingford_Waltham_Forest_Greater_London_England.html,472,2,3,"['Indian', 'Asian', 'Indian']","166 Station Road, Chingford, Waltham Forest E4 6AN England",+44 20 8524 8666,Website not scraped,Menu not scraped,#2 of 42 Restaurants in Chingford,4.5,0.976,Chingford,Indian,,,14.939
